Person(name=Paul Thompson, budget=39.45, starvation=3200, age=18.1, satisfaction=-2.09, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.66], memory_salary=[11.11], birth=15, workaholic=0.67, needs=0.05

Person(name=Paul Thompson, budget=40.05, starvation=1200, age=18.200000000000003, satisfaction=-3.16, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.66 0.  ], memory_salary=[11.11  0.6 ], birth=16, workaholic=0.67, needs=0.15000000000000002

Person(name=Paul Thompson, budget=41.52, starvation=-800, age=18.300000000000004, satisfaction=-4.29, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.66 0.   0.  ], memory_salary=[11.11  0.6   1.47], birth=17, workaholic=0.67, needs=0.25

Person(name=Paul Thompson, budget=43.55, starvation=60, age=18.400000000000006, satisfaction=-3.87, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.66 0.   0.   0.89], memory_salary=[11.11  0.6   1.47  2.92], birth=18, workaholic=0.67, needs=0.35

Person(name=Paul Thompson, budget=46.03, starvation=-510, age=18.500000000000007, satisfaction=-3.21, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.66 0.   0.   0.89 0.45], memory_salary=[11.11  0.6   1.47  2.92  2.92], birth=19, workaholic=0.67, needs=0.44999999999999996

Person(name=Paul Thompson, budget=47.01, starvation=350, age=18.60000000000001, satisfaction=-2.11, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.89 0.45 0.81], memory_salary=[0.6  1.47 2.92 2.92 1.79], birth=20, workaholic=0.67, needs=0.5499999999999999

Person(name=Paul Thompson, budget=48.84, starvation=-1650, age=18.70000000000001, satisfaction=-3.43, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.89 0.45 0.81 0.  ], memory_salary=[1.47 2.92 2.92 1.79 1.83], birth=21, workaholic=0.67, needs=0.6499999999999999

Person(name=Paul Thompson, budget=49.21, starvation=-790, age=18.80000000000001, satisfaction=-3.48, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.89 0.45 0.81 0.   0.91], memory_salary=[2.92 2.92 1.79 1.83 1.28], birth=22, workaholic=0.67, needs=0.7499999999999999

Person(name=Paul Thompson, budget=49.8, starvation=70, age=18.900000000000013, satisfaction=-4.7, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.45 0.81 0.   0.91 0.8 ], memory_salary=[2.92 1.79 1.83 1.28 1.39], birth=23, workaholic=0.67, needs=0.8499999999999999

Person(name=Paul Thompson, budget=50.56, starvation=930, age=19.000000000000014, satisfaction=-5.83, jobs=['CerealMaker(name=Paul Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.81 0.   0.91 0.8  0.9 ], memory_salary=[1.79 1.83 1.28 1.39 1.67], birth=24, workaholic=0.67, needs=0.9499999999999998

