Person(name=David Jones, budget=46.07, starvation=1380, age=18.1, satisfaction=-1.35, jobs=['MilkMaker(name=David Jones, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[17.02], birth=31, workaholic=0.34, needs=0.05

Person(name=David Jones, budget=46.85, starvation=-620, age=18.200000000000003, satisfaction=-2.43, jobs=['MilkMaker(name=David Jones, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[17.02  0.78], birth=32, workaholic=0.34, needs=0.15000000000000002

Person(name=David Jones, budget=46.83, starvation=-90, age=18.300000000000004, satisfaction=23.65, jobs=['MilkMaker(name=David Jones, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92], memory_salary=[17.02  0.78  0.9 ], birth=33, workaholic=0.34, needs=0.25

Person(name=David Jones, budget=45.84, starvation=310, age=18.400000000000006, satisfaction=26.73, jobs=['MilkMaker(name=David Jones, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92 2.03], memory_salary=[17.02  0.78  0.9   1.04], birth=34, workaholic=0.34, needs=0.35

Person(name=David Jones, budget=46.35, starvation=-1290, age=18.500000000000007, satisfaction=26.3, jobs=['MilkMaker(name=David Jones, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92 2.03 0.34], memory_salary=[17.02  0.78  0.9   1.04  0.84], birth=35, workaholic=0.34, needs=0.24999999999999997

Person(name=David Jones, budget=45.62, starvation=360, age=18.60000000000001, satisfaction=29.09, jobs=['MilkMaker(name=David Jones, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.92 2.03 0.34 2.32], memory_salary=[0.78 0.9  1.04 0.84 1.6 ], birth=36, workaholic=0.34, needs=0.14999999999999997

Person(name=David Jones, budget=46.77, starvation=-210, age=18.70000000000001, satisfaction=29.05, jobs=['MilkMaker(name=David Jones, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.92 2.03 0.34 2.32 0.58], memory_salary=[0.9  1.04 0.84 1.6  1.72], birth=37, workaholic=0.34, needs=0.05

Person(name=David Jones, budget=46.86, starvation=-460, age=18.80000000000001, satisfaction=34.67, jobs=['MilkMaker(name=David Jones, job_satisfied=0.59, employer=bbb, salary=0, working_hours=8)'], memory_spent=[2.03 0.34 2.32 0.58 1.26], memory_salary=[1.04 0.84 1.6  1.72 1.36], birth=38, workaholic=0.34, needs=0.15000000000000002

Person(name=David Jones, budget=47.06, starvation=-1360, age=18.900000000000013, satisfaction=35.97, jobs=['MilkMaker(name=David Jones, job_satisfied=0.49, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.34 2.32 0.58 1.26 0.37], memory_salary=[0.84 1.6  1.72 1.36 0.57], birth=39, workaholic=0.34, needs=0.25

Person(name=David Jones, budget=46.01, starvation=-110, age=19.000000000000014, satisfaction=40.13, jobs=['PieMaker(name=David Jones, job_satisfied=0.59, employer=bbb, salary=0, working_hours=8)'], memory_spent=[2.32 0.58 1.26 0.37 1.93], memory_salary=[1.6  1.72 1.36 0.57 0.88], birth=40, workaholic=0.34, needs=0.35

