Person(name=Michael Taylor, budget=50.34, starvation=5900, age=18.1, satisfaction=-3.76, jobs=['MilkMaker(name=Michael Taylor, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.13], memory_salary=[23.47], birth=34, workaholic=0.46, needs=0.05

Person(name=Michael Taylor, budget=39.09, starvation=4000, age=18.200000000000003, satisfaction=40.53, jobs=['MilkMaker(name=Michael Taylor, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.13 0.64], memory_salary=[23.47  0.34], birth=0, workaholic=0.46, needs=0.15000000000000002

Person(name=Michael Taylor, budget=40.15, starvation=2000, age=18.300000000000004, satisfaction=39.4, jobs=['MilkMaker(name=Michael Taylor, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.13 0.64 0.  ], memory_salary=[23.47  0.34  1.06], birth=1, workaholic=0.46, needs=0.25

Person(name=Michael Taylor, budget=42.08, starvation=0, age=18.400000000000006, satisfaction=38.23, jobs=['MilkMaker(name=Michael Taylor, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.13 0.64 0.   0.  ], memory_salary=[23.47  0.34  1.06  1.93], birth=2, workaholic=0.46, needs=0.35

Person(name=Michael Taylor, budget=43.09, starvation=300, age=18.500000000000007, satisfaction=40.8, jobs=['BreadMaker(name=Michael Taylor, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.13 0.64 0.   0.   1.14], memory_salary=[23.47  0.34  1.06  1.93  2.15], birth=3, workaholic=0.46, needs=0.44999999999999996

Person(name=Michael Taylor, budget=44.29, starvation=-600, age=18.60000000000001, satisfaction=40.97, jobs=['BreadMaker(name=Michael Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.64 0.   0.   1.14 0.32], memory_salary=[0.34 1.06 1.93 2.15 1.52], birth=4, workaholic=0.46, needs=0.5499999999999999

Person(name=Michael Taylor, budget=44.58, starvation=100, age=18.70000000000001, satisfaction=40.02, jobs=['BreadMaker(name=Michael Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   1.14 0.32 1.43], memory_salary=[1.06 1.93 2.15 1.52 1.72], birth=5, workaholic=0.46, needs=0.6499999999999999

Person(name=Michael Taylor, budget=46.68, starvation=-1900, age=18.80000000000001, satisfaction=38.65, jobs=['BreadMaker(name=Michael Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.14 0.32 1.43 0.  ], memory_salary=[1.93 2.15 1.52 1.72 2.1 ], birth=6, workaholic=0.46, needs=0.7499999999999999

Person(name=Michael Taylor, budget=48.14, starvation=390, age=18.900000000000013, satisfaction=37.63, jobs=['BreadMaker(name=Michael Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.14 0.32 1.43 0.   1.2 ], memory_salary=[2.15 1.52 1.72 2.1  2.66], birth=7, workaholic=0.46, needs=0.8499999999999999

Person(name=Michael Taylor, budget=50.02, starvation=1250, age=19.000000000000014, satisfaction=36.28, jobs=['BreadMaker(name=Michael Taylor, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.32 1.43 0.   1.2  0.8 ], memory_salary=[1.52 1.72 2.1  2.66 2.68], birth=8, workaholic=0.46, needs=0.9499999999999998

