Person(name=Garry Brown, budget=38.28, starvation=1380, age=18.1, satisfaction=-1.41, jobs=['CerealMaker(name=Garry Brown, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[9.23], birth=38, workaholic=0.7, needs=0.05

Person(name=Garry Brown, budget=40.09, starvation=-620, age=18.200000000000003, satisfaction=-2.49, jobs=['CerealMaker(name=Garry Brown, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[9.23 1.81], birth=39, workaholic=0.7, needs=0.15000000000000002

Person(name=Garry Brown, budget=41.95, starvation=-1520, age=18.300000000000004, satisfaction=4.26, jobs=['CerealMaker(name=Garry Brown, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.33], memory_salary=[9.23 1.81 2.2 ], birth=40, workaholic=0.7, needs=0.25

Person(name=Garry Brown, budget=42.99, starvation=-660, age=18.400000000000006, satisfaction=7.47, jobs=['BreadMaker(name=Garry Brown, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.33 0.9 ], memory_salary=[9.23 1.81 2.2  1.94], birth=41, workaholic=0.7, needs=0.35

Person(name=Garry Brown, budget=43.6, starvation=200, age=18.500000000000007, satisfaction=9.74, jobs=['BreadMaker(name=Garry Brown, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.33 0.9  0.89], memory_salary=[9.23 1.81 2.2  1.94 1.5 ], birth=42, workaholic=0.7, needs=0.44999999999999996

Person(name=Garry Brown, budget=47.04, starvation=-150, age=18.60000000000001, satisfaction=10.07, jobs=['BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.33 0.9  0.89 0.5 ], memory_salary=[1.81 2.2  1.94 1.5  3.94], birth=43, workaholic=0.7, needs=0.5499999999999999

Person(name=Garry Brown, budget=49.82, starvation=-1050, age=18.70000000000001, satisfaction=9.82, jobs=['BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.33 0.9  0.89 0.5  0.33], memory_salary=[2.2  1.94 1.5  3.94 3.11], birth=44, workaholic=0.7, needs=0.6499999999999999

Person(name=Garry Brown, budget=51.06, starvation=-190, age=18.80000000000001, satisfaction=11.45, jobs=['BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.9  0.89 0.5  0.33 0.91], memory_salary=[1.94 1.5  3.94 3.11 2.15], birth=45, workaholic=0.7, needs=0.7499999999999999

Person(name=Garry Brown, budget=56.11, starvation=-1240, age=18.900000000000013, satisfaction=10.49, jobs=['BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.89 0.5  0.33 0.91 0.46], memory_salary=[1.5  3.94 3.11 2.15 5.51], birth=46, workaholic=0.7, needs=0.8499999999999999

Person(name=Garry Brown, budget=58.16, starvation=-2140, age=19.000000000000014, satisfaction=9.35, jobs=['PieMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.5  0.33 0.91 0.46 0.33], memory_salary=[3.94 3.11 2.15 5.51 2.38], birth=47, workaholic=0.7, needs=0.9499999999999998

