Person(name=Paul Taylor, budget=39.53, starvation=3200, age=18.1, satisfaction=-1.87, jobs=['BreadMaker(name=Paul Taylor, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68], memory_salary=[11.21], birth=16, workaholic=0.7, needs=0.05

Person(name=Paul Taylor, budget=41.01, starvation=1200, age=18.200000000000003, satisfaction=-2.94, jobs=['BreadMaker(name=Paul Taylor, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.  ], memory_salary=[11.21  1.48], birth=17, workaholic=0.7, needs=0.15000000000000002

Person(name=Paul Taylor, budget=43.46, starvation=-800, age=18.300000000000004, satisfaction=-4.07, jobs=['BreadMaker(name=Paul Taylor, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.   0.  ], memory_salary=[11.21  1.48  2.45], birth=18, workaholic=0.7, needs=0.25

Person(name=Paul Taylor, budget=44.76, starvation=60, age=18.400000000000006, satisfaction=-1.4, jobs=['BreadMaker(name=Paul Taylor, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.   0.   0.96], memory_salary=[11.21  1.48  2.45  2.26], birth=19, workaholic=0.7, needs=0.35

Person(name=Paul Taylor, budget=45.34, starvation=920, age=18.500000000000007, satisfaction=1.25, jobs=['BreadMaker(name=Paul Taylor, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.68 0.   0.   0.96 0.93], memory_salary=[11.21  1.48  2.45  2.26  1.51], birth=20, workaholic=0.7, needs=0.44999999999999996

Person(name=Paul Taylor, budget=48.37, starvation=1780, age=18.60000000000001, satisfaction=2.28, jobs=['BreadMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.96 0.93 0.93], memory_salary=[1.48 2.45 2.26 1.51 3.96], birth=21, workaholic=0.7, needs=0.5499999999999999

Person(name=Paul Taylor, budget=50.56, starvation=2640, age=18.70000000000001, satisfaction=3.77, jobs=['MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.96 0.93 0.93 0.93], memory_salary=[2.45 2.26 1.51 3.96 3.12], birth=22, workaholic=0.7, needs=0.6499999999999999

Person(name=Paul Taylor, budget=52.87, starvation=640, age=18.80000000000001, satisfaction=2.39, jobs=['MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.96 0.93 0.93 0.93 0.  ], memory_salary=[2.26 1.51 3.96 3.12 2.31], birth=23, workaholic=0.7, needs=0.7499999999999999

Person(name=Paul Taylor, budget=53.77, starvation=-1360, age=18.900000000000013, satisfaction=0.97, jobs=['MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.93 0.93 0.93 0.   0.  ], memory_salary=[1.51 3.96 3.12 2.31 0.9 ], birth=24, workaholic=0.7, needs=0.8499999999999999

Person(name=Paul Taylor, budget=54.35, starvation=-500, age=19.000000000000014, satisfaction=0.01, jobs=['MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.93 0.93 0.   0.   0.92], memory_salary=[3.96 3.12 2.31 0.9  1.5 ], birth=25, workaholic=0.7, needs=0.9499999999999998

