Person(name=Samantha Jones, budget=51.79, starvation=1380, age=18.1, satisfaction=-1.41, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[22.74], birth=29, workaholic=0.16, needs=0.05

Person(name=Samantha Jones, budget=52.67, starvation=-620, age=18.200000000000003, satisfaction=-2.49, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[22.74  0.88], birth=30, workaholic=0.16, needs=0.15000000000000002

Person(name=Samantha Jones, budget=52.36, starvation=240, age=18.300000000000004, satisfaction=35.52, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.9 ], memory_salary=[22.74  0.88  0.6 ], birth=31, workaholic=0.16, needs=0.25

Person(name=Samantha Jones, budget=52.56, starvation=-1360, age=18.400000000000006, satisfaction=34.72, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.9  0.33], memory_salary=[22.74  0.88  0.6   0.53], birth=32, workaholic=0.16, needs=0.35

Person(name=Samantha Jones, budget=52.47, starvation=-1930, age=18.500000000000007, satisfaction=33.7, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.9  0.33 0.45], memory_salary=[22.74  0.88  0.6   0.53  0.36], birth=33, workaholic=0.16, needs=0.3

Person(name=Samantha Jones, budget=53.42, starvation=-1070, age=18.60000000000001, satisfaction=32.51, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.9  0.33 0.45 0.91], memory_salary=[0.88 0.6  0.53 0.36 1.86], birth=34, workaholic=0.16, needs=0.35

Person(name=Samantha Jones, budget=54.07, starvation=-1640, age=18.70000000000001, satisfaction=32.02, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.9  0.33 0.45 0.91 0.45], memory_salary=[0.6  0.53 0.36 1.86 1.1 ], birth=35, workaholic=0.16, needs=0.44999999999999996

Person(name=Samantha Jones, budget=53.19, starvation=-780, age=18.80000000000001, satisfaction=32.02, jobs=['MeatMaker(name=Samantha Jones, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.33 0.45 0.91 0.45 1.19], memory_salary=[0.53 0.36 1.86 1.1  0.32], birth=36, workaholic=0.16, needs=0.5499999999999999

Person(name=Samantha Jones, budget=53.62, starvation=-1130, age=18.900000000000013, satisfaction=31.32, jobs=['PieMaker(name=Samantha Jones, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.45 0.91 0.45 1.19 0.52], memory_salary=[0.36 1.86 1.1  0.32 0.95], birth=37, workaholic=0.16, needs=0.44999999999999996

Person(name=Samantha Jones, budget=54.77, starvation=-1530, age=19.000000000000014, satisfaction=30.74, jobs=['PieMaker(name=Samantha Jones, job_satisfied=0.92, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.45 1.19 0.52 1.29], memory_salary=[1.86 1.1  0.32 0.95 2.44], birth=38, workaholic=0.16, needs=0.35

