Person(name=Alex Jones, budget=44.37, starvation=1380, age=18.1, satisfaction=-1.35, jobs=['BreadMaker(name=Alex Jones, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.93], memory_salary=[15.3], birth=30, workaholic=0.92, needs=0.05

Person(name=Alex Jones, budget=46.04, starvation=-620, age=18.200000000000003, satisfaction=-2.43, jobs=['PieMaker(name=Alex Jones, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.  ], memory_salary=[15.3   1.67], birth=31, workaholic=0.92, needs=0.15000000000000002

Person(name=Alex Jones, budget=50.66, starvation=-90, age=18.300000000000004, satisfaction=18.75, jobs=['PieMaker(name=Alex Jones, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.7 ], memory_salary=[15.3   1.67  5.33], birth=32, workaholic=0.92, needs=0.25

Person(name=Alex Jones, budget=62.0, starvation=-660, age=18.400000000000006, satisfaction=21.89, jobs=['PieMaker(name=Alex Jones, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.7  0.46], memory_salary=[15.3   1.67  5.33 11.8 ], birth=33, workaholic=0.92, needs=0.35

Person(name=Alex Jones, budget=72.07, starvation=200, age=18.500000000000007, satisfaction=31.44, jobs=['PieMaker(name=Alex Jones, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.93 0.   0.7  0.46 0.81], memory_salary=[15.3   1.67  5.33 11.8  10.87], birth=34, workaholic=0.92, needs=0.44999999999999996

Person(name=Alex Jones, budget=76.21, starvation=-1800, age=18.60000000000001, satisfaction=30.17, jobs=['PieMaker(name=Alex Jones, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.7  0.46 0.81 0.  ], memory_salary=[ 1.67  5.33 11.8  10.87  4.14], birth=35, workaholic=0.92, needs=0.5499999999999999

Person(name=Alex Jones, budget=80.4, starvation=490, age=18.70000000000001, satisfaction=42.39, jobs=['PieMaker(name=Alex Jones, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.7  0.46 0.81 0.   1.35], memory_salary=[ 5.33 11.8  10.87  4.14  5.54], birth=36, workaholic=0.92, needs=0.6499999999999999

Person(name=Alex Jones, budget=87.38, starvation=-1510, age=18.80000000000001, satisfaction=41.01, jobs=['PieMaker(name=Alex Jones, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.46 0.81 0.   1.35 0.  ], memory_salary=[11.8  10.87  4.14  5.54  6.98], birth=37, workaholic=0.92, needs=0.7499999999999999

Person(name=Alex Jones, budget=92.72, starvation=-2080, age=18.900000000000013, satisfaction=40.57, jobs=['PieMaker(name=Alex Jones, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.81 0.   1.35 0.   0.51], memory_salary=[10.87  4.14  5.54  6.98  5.85], birth=38, workaholic=0.92, needs=0.8499999999999999

Person(name=Alex Jones, budget=98.7, starvation=-1220, age=19.000000000000014, satisfaction=42.52, jobs=['PieMaker(name=Alex Jones, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   1.35 0.   0.51 0.98], memory_salary=[4.14 5.54 6.98 5.85 6.96], birth=39, workaholic=0.92, needs=0.9499999999999998

