Person(name=Charlie Johnson, budget=26.28, starvation=5900, age=18.1, satisfaction=-4.25, jobs=['CerealMaker(name=Charlie Johnson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.72], memory_salary=[0], birth=20, workaholic=0.88, needs=0.05

Person(name=Charlie Johnson, budget=26.9, starvation=3900, age=18.200000000000003, satisfaction=-5.28, jobs=['CerealMaker(name=Charlie Johnson, job_satisfied=0.4, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.72 0.  ], memory_salary=[0.   0.62], birth=21, workaholic=0.88, needs=0.05

Person(name=Charlie Johnson, budget=27.99, starvation=1900, age=18.300000000000004, satisfaction=-6.3, jobs=['MilkMaker(name=Charlie Johnson, job_satisfied=0.3, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.72 0.   0.  ], memory_salary=[0.   0.62 1.09], birth=22, workaholic=0.88, needs=0.05

Person(name=Charlie Johnson, budget=27.76, starvation=2760, age=18.400000000000006, satisfaction=-5.69, jobs=['CerealMaker(name=Charlie Johnson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.72 0.   0.   0.91], memory_salary=[0.   0.62 1.09 0.68], birth=23, workaholic=0.88, needs=0.15000000000000002

Person(name=Charlie Johnson, budget=29.17, starvation=1310, age=18.500000000000007, satisfaction=-6.3, jobs=['MeatMaker(name=Charlie Johnson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.72 0.   0.   0.91 0.17], memory_salary=[0.   0.62 1.09 0.68 1.58], birth=24, workaholic=0.88, needs=0.25

Person(name=Charlie Johnson, budget=29.98, starvation=1840, age=18.60000000000001, satisfaction=-5.37, jobs=['MeatMaker(name=Charlie Johnson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.91 0.17 0.79], memory_salary=[0.62 1.09 0.68 1.58 1.59], birth=25, workaholic=0.88, needs=0.35

Person(name=Charlie Johnson, budget=30.44, starvation=-160, age=18.70000000000001, satisfaction=-6.59, jobs=['MeatMaker(name=Charlie Johnson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.91 0.17 0.79 0.  ], memory_salary=[1.09 0.68 1.58 1.59 0.46], birth=26, workaholic=0.88, needs=0.44999999999999996

Person(name=Charlie Johnson, budget=31.37, starvation=-730, age=18.80000000000001, satisfaction=-7.34, jobs=['MeatMaker(name=Charlie Johnson, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.91 0.17 0.79 0.   0.46], memory_salary=[0.68 1.58 1.59 0.46 1.39], birth=27, workaholic=0.88, needs=0.5499999999999999

Person(name=Charlie Johnson, budget=32.6, starvation=130, age=18.900000000000013, satisfaction=-8.0, jobs=['MeatMaker(name=Charlie Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.17 0.79 0.   0.46 0.92], memory_salary=[1.58 1.59 0.46 1.39 2.15], birth=28, workaholic=0.88, needs=0.6499999999999999

