Person(name=Sam Miller, budget=41.04, starvation=3200, age=18.1, satisfaction=-1.84, jobs=['MilkMaker(name=Sam Miller, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.78], memory_salary=[12.82], birth=37, workaholic=0.99, needs=0.05

Person(name=Sam Miller, budget=42.21, starvation=1200, age=18.200000000000003, satisfaction=-2.92, jobs=['MilkMaker(name=Sam Miller, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.78 0.  ], memory_salary=[12.82  1.17], birth=38, workaholic=0.99, needs=0.15000000000000002

Person(name=Sam Miller, budget=43.23, starvation=300, age=18.300000000000004, satisfaction=4.61, jobs=['MilkMaker(name=Sam Miller, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.33], memory_salary=[12.82  1.17  1.35], birth=39, workaholic=0.99, needs=0.25

Person(name=Sam Miller, budget=44.77, starvation=-1700, age=18.400000000000006, satisfaction=3.43, jobs=['MilkMaker(name=Sam Miller, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.33 0.  ], memory_salary=[12.82  1.17  1.35  1.54], birth=40, workaholic=0.99, needs=0.35

Person(name=Sam Miller, budget=43.88, starvation=-270, age=18.500000000000007, satisfaction=9.41, jobs=['MilkMaker(name=Sam Miller, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.78 0.   0.33 0.   2.14], memory_salary=[12.82  1.17  1.35  1.54  1.25], birth=41, workaholic=0.99, needs=0.44999999999999996

Person(name=Sam Miller, budget=45.55, starvation=-370, age=18.60000000000001, satisfaction=10.74, jobs=['PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.33 0.   2.14 1.  ], memory_salary=[1.17 1.35 1.54 1.25 2.67], birth=42, workaholic=0.99, needs=0.5499999999999999

Person(name=Sam Miller, budget=48.76, starvation=260, age=18.70000000000001, satisfaction=13.96, jobs=['PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.33 0.   2.14 1.   1.5 ], memory_salary=[1.35 1.54 1.25 2.67 4.71], birth=43, workaholic=0.99, needs=0.6499999999999999

Person(name=Sam Miller, budget=50.02, starvation=-1740, age=18.80000000000001, satisfaction=12.58, jobs=['PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   2.14 1.   1.5  0.  ], memory_salary=[1.54 1.25 2.67 4.71 1.26], birth=44, workaholic=0.99, needs=0.7499999999999999

Person(name=Sam Miller, budget=52.37, starvation=-440, age=18.900000000000013, satisfaction=12.43, jobs=['PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[2.14 1.   1.5  0.   0.98], memory_salary=[1.25 2.67 4.71 1.26 3.34], birth=45, workaholic=0.99, needs=0.8499999999999999

Person(name=Sam Miller, budget=56.81, starvation=-940, age=19.000000000000014, satisfaction=11.65, jobs=['PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.   1.5  0.   0.98 0.68], memory_salary=[2.67 4.71 1.26 3.34 5.12], birth=46, workaholic=0.99, needs=0.9499999999999998

