Person(name=Diana Johnson, budget=34.1, starvation=5900, age=18.1, satisfaction=-3.34, jobs=['MilkMaker(name=Diana Johnson, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.2], memory_salary=[7.3], birth=14, workaholic=0.96, needs=0.05

Person(name=Diana Johnson, budget=35.25, starvation=3900, age=18.200000000000003, satisfaction=-4.42, jobs=['MilkMaker(name=Diana Johnson, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.2 0. ], memory_salary=[7.3  1.15], birth=15, workaholic=0.96, needs=0.15000000000000002

Person(name=Diana Johnson, budget=36.57, starvation=1900, age=18.300000000000004, satisfaction=-5.54, jobs=['MilkMaker(name=Diana Johnson, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.2 0.  0. ], memory_salary=[7.3  1.15 1.32], birth=16, workaholic=0.96, needs=0.25

Person(name=Diana Johnson, budget=37.3, starvation=2430, age=18.400000000000006, satisfaction=-4.59, jobs=['MilkMaker(name=Diana Johnson, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.2  0.   0.   0.78], memory_salary=[7.3  1.15 1.32 1.52], birth=17, workaholic=0.96, needs=0.35

Person(name=Diana Johnson, budget=38.52, starvation=430, age=18.500000000000007, satisfaction=-5.82, jobs=['MilkMaker(name=Diana Johnson, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[3.2  0.   0.   0.78 0.  ], memory_salary=[7.3  1.15 1.32 1.52 1.22], birth=18, workaholic=0.96, needs=0.44999999999999996

Person(name=Diana Johnson, budget=39.79, starvation=30, age=18.60000000000001, satisfaction=-3.46, jobs=['PieMaker(name=Diana Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.78 0.   1.35], memory_salary=[1.15 1.32 1.52 1.22 2.62], birth=19, workaholic=0.96, needs=0.5499999999999999

Person(name=Diana Johnson, budget=43.06, starvation=330, age=18.70000000000001, satisfaction=-0.73, jobs=['PieMaker(name=Diana Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.78 0.   1.35 1.35], memory_salary=[1.32 1.52 1.22 2.62 4.62], birth=20, workaholic=0.96, needs=0.6499999999999999

Person(name=Diana Johnson, budget=43.97, starvation=-570, age=18.80000000000001, satisfaction=-1.15, jobs=['PieMaker(name=Diana Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.78 0.   1.35 1.35 0.33], memory_salary=[1.52 1.22 2.62 4.62 1.24], birth=21, workaholic=0.96, needs=0.7499999999999999

Person(name=Diana Johnson, budget=46.06, starvation=360, age=18.900000000000013, satisfaction=0.27, jobs=['BreadMaker(name=Diana Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   1.35 1.35 0.33 1.19], memory_salary=[1.22 2.62 4.62 1.24 3.28], birth=22, workaholic=0.96, needs=0.8499999999999999

Person(name=Diana Johnson, budget=48.09, starvation=-1640, age=19.000000000000014, satisfaction=-1.21, jobs=['BreadMaker(name=Diana Johnson, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.35 1.35 0.33 1.19 0.  ], memory_salary=[2.62 4.62 1.24 3.28 2.03], birth=23, workaholic=0.96, needs=0.9499999999999998

