Person(name=Garry Thomas, budget=36.32, starvation=1380, age=18.1, satisfaction=-1.35, jobs=['CerealMaker(name=Garry Thomas, job_satisfied=0.5, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95], memory_salary=[7.27], birth=29, workaholic=0.67, needs=0.05

Person(name=Garry Thomas, budget=38.1, starvation=-620, age=18.200000000000003, satisfaction=-2.43, jobs=['CerealMaker(name=Garry Thomas, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.  ], memory_salary=[7.27 1.78], birth=30, workaholic=0.67, needs=0.15000000000000002

Person(name=Garry Thomas, budget=39.35, starvation=-90, age=18.300000000000004, satisfaction=9.71, jobs=['CerealMaker(name=Garry Thomas, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92], memory_salary=[7.27 1.78 2.17], birth=31, workaholic=0.67, needs=0.25

Person(name=Garry Thomas, budget=39.83, starvation=-490, age=18.400000000000006, satisfaction=16.54, jobs=['CerealMaker(name=Garry Thomas, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92 1.43], memory_salary=[7.27 1.78 2.17 1.91], birth=32, workaholic=0.67, needs=0.35

Person(name=Garry Thomas, budget=39.97, starvation=-1390, age=18.500000000000007, satisfaction=17.27, jobs=['CerealMaker(name=Garry Thomas, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.95 0.   0.92 1.43 0.36], memory_salary=[7.27 1.78 2.17 1.91 0.51], birth=33, workaholic=0.67, needs=0.44999999999999996

Person(name=Garry Thomas, budget=40.45, starvation=260, age=18.60000000000001, satisfaction=20.02, jobs=['CerealMaker(name=Garry Thomas, job_satisfied=1.0, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.   0.92 1.43 0.36 2.1 ], memory_salary=[1.78 2.17 1.91 0.51 2.57], birth=34, workaholic=0.67, needs=0.5499999999999999

Person(name=Garry Thomas, budget=39.61, starvation=1290, age=18.70000000000001, satisfaction=22.24, jobs=['MilkMaker(name=Garry Thomas, job_satisfied=0.9, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.92 1.43 0.36 2.1  2.04], memory_salary=[2.17 1.91 0.51 2.57 1.21], birth=35, workaholic=0.67, needs=0.6499999999999999

Person(name=Garry Thomas, budget=40.71, starvation=490, age=18.80000000000001, satisfaction=23.66, jobs=['MilkMaker(name=Garry Thomas, job_satisfied=0.8, employer=bbb, salary=0, working_hours=8)'], memory_spent=[1.43 0.36 2.1  2.04 1.05], memory_salary=[1.91 0.51 2.57 1.21 2.15], birth=36, workaholic=0.67, needs=0.5499999999999999

Person(name=Garry Thomas, budget=41.51, starvation=-1510, age=18.900000000000013, satisfaction=22.34, jobs=['BreadMaker(name=Garry Thomas, job_satisfied=0.7, employer=bbb, salary=0, working_hours=8)'], memory_spent=[0.36 2.1  2.04 1.05 0.  ], memory_salary=[0.51 2.57 1.21 2.15 0.8 ], birth=37, workaholic=0.67, needs=0.6499999999999999

Person(name=Garry Thomas, budget=42.48, starvation=-650, age=19.000000000000014, satisfaction=22.39, jobs=['BreadMaker(name=Garry Thomas, job_satisfied=0.6, employer=bbb, salary=0, working_hours=8)'], memory_spent=[2.1  2.04 1.05 0.   1.03], memory_salary=[2.57 1.21 2.15 0.8  2.  ], birth=38, workaholic=0.67, needs=0.7499999999999999

