Person(name=Michael Wilson, budget=32.81, starvation=4000, age=18.1, satisfaction=-4.23, jobs=['CerealMaker(name=Michael Wilson, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08], memory_salary=[10.17], birth=0, workaholic=0.61, needs=0.05

Person(name=Michael Wilson, budget=32.73, starvation=4200, age=18.200000000000003, satisfaction=11.96, jobs=['CerealMaker(name=Michael Wilson, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.67], memory_salary=[10.17  0.58], birth=1, workaholic=0.61, needs=0.15000000000000002

Person(name=Michael Wilson, budget=33.97, starvation=2750, age=18.300000000000004, satisfaction=14.66, jobs=['CerealMaker(name=Michael Wilson, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.67 0.17], memory_salary=[10.17  0.58  1.41], birth=2, workaholic=0.61, needs=0.25

Person(name=Michael Wilson, budget=36.77, starvation=750, age=18.400000000000006, satisfaction=13.49, jobs=['PieMaker(name=Michael Wilson, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.67 0.17 0.  ], memory_salary=[10.17  0.58  1.41  2.8 ], birth=3, workaholic=0.61, needs=0.35

Person(name=Michael Wilson, budget=42.5, starvation=180, age=18.500000000000007, satisfaction=14.05, jobs=['PieMaker(name=Michael Wilson, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.08 0.67 0.17 0.   0.45], memory_salary=[10.17  0.58  1.41  2.8   6.18], birth=4, workaholic=0.61, needs=0.44999999999999996

Person(name=Michael Wilson, budget=43.14, starvation=880, age=18.60000000000001, satisfaction=17.0, jobs=['PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.67 0.17 0.   0.45 1.48], memory_salary=[0.58 1.41 2.8  6.18 2.12], birth=5, workaholic=0.61, needs=0.5499999999999999

Person(name=Michael Wilson, budget=45.15, starvation=1580, age=18.70000000000001, satisfaction=18.18, jobs=['PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.17 0.   0.45 1.48 1.48], memory_salary=[1.41 2.8  6.18 2.12 3.49], birth=6, workaholic=0.61, needs=0.6499999999999999

Person(name=Michael Wilson, budget=49.12, starvation=1010, age=18.80000000000001, satisfaction=17.96, jobs=['PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.45 1.48 1.48 0.45], memory_salary=[2.8  6.18 2.12 3.49 4.42], birth=7, workaholic=0.61, needs=0.7499999999999999

Person(name=Michael Wilson, budget=53.02, starvation=-990, age=18.900000000000013, satisfaction=16.53, jobs=['PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.45 1.48 1.48 0.45 0.  ], memory_salary=[6.18 2.12 3.49 4.42 3.9 ], birth=8, workaholic=0.61, needs=0.8499999999999999

Person(name=Michael Wilson, budget=56.38, starvation=-130, age=19.000000000000014, satisfaction=15.71, jobs=['PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[1.48 1.48 0.45 0.   1.25], memory_salary=[2.12 3.49 4.42 3.9  4.62], birth=9, workaholic=0.61, needs=0.9499999999999998

