Person(name=Chris Thomas, budget=68.06, starvation=5900, age=18.1, satisfaction=-4.31, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=0.5, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.71], memory_salary=[41.77], birth=17, workaholic=0.8, needs=0.05

Person(name=Chris Thomas, budget=68.71, starvation=3900, age=18.200000000000003, satisfaction=-5.38, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=0.6, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.71 0.  ], memory_salary=[41.77  0.65], birth=18, workaholic=0.8, needs=0.15000000000000002

Person(name=Chris Thomas, budget=70.29, starvation=1900, age=18.300000000000004, satisfaction=-6.51, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=0.7, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.71 0.   0.  ], memory_salary=[41.77  0.65  1.58], birth=19, workaholic=0.8, needs=0.25

Person(name=Chris Thomas, budget=73.1, starvation=300, age=18.400000000000006, satisfaction=-6.96, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=0.8, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.71 0.   0.   0.33], memory_salary=[41.77  0.65  1.58  3.14], birth=20, workaholic=0.8, needs=0.35

Person(name=Chris Thomas, budget=76.25, starvation=-1700, age=18.500000000000007, satisfaction=-8.18, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=0.9, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[3.71 0.   0.   0.33 0.  ], memory_salary=[41.77  0.65  1.58  3.14  3.15], birth=21, workaholic=0.8, needs=0.44999999999999996

Person(name=Chris Thomas, budget=77.26, starvation=-840, age=18.60000000000001, satisfaction=-4.6, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.   0.33 0.   0.91], memory_salary=[0.65 1.58 3.14 3.15 1.92], birth=22, workaholic=0.8, needs=0.5499999999999999

Person(name=Chris Thomas, budget=78.78, starvation=-1410, age=18.70000000000001, satisfaction=-4.59, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.33 0.   0.91 0.45], memory_salary=[1.58 3.14 3.15 1.92 1.97], birth=23, workaholic=0.8, needs=0.6499999999999999

Person(name=Chris Thomas, budget=78.97, starvation=-550, age=18.80000000000001, satisfaction=-4.99, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.33 0.   0.91 0.45 1.19], memory_salary=[3.14 3.15 1.92 1.97 1.38], birth=24, workaholic=0.8, needs=0.7499999999999999

Person(name=Chris Thomas, budget=79.54, starvation=310, age=18.900000000000013, satisfaction=-5.58, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.   0.91 0.45 1.19 0.91], memory_salary=[3.15 1.92 1.97 1.38 1.49], birth=25, workaholic=0.8, needs=0.8499999999999999

Person(name=Chris Thomas, budget=80.43, starvation=1170, age=19.000000000000014, satisfaction=-6.61, jobs=['CerealMaker(name=Chris Thomas, job_satisfied=1.0, employer=bbbccaa, salary=0, working_hours=8)'], memory_spent=[0.91 0.45 1.19 0.91 0.92], memory_salary=[1.92 1.97 1.38 1.49 1.81], birth=26, workaholic=0.8, needs=0.9499999999999998

