BreadMaker(name=Stephan Wilson, job_satisfied=0.5, employer=bbbccaa, salary=28.39, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=0.6, employer=bbbccaa, salary=1.01, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=0.7, employer=bbbccaa, salary=1.16, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=0.8, employer=bbbccaa, salary=3.37, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=0.9, employer=bbbccaa, salary=4.3, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=1.0, employer=bbbccaa, salary=1.95, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.69, working_hours=8)

BreadMaker(name=Stephan Wilson, job_satisfied=1.0, employer=bbbccaa, salary=3.28, working_hours=8)

MilkMaker(name=Stephan Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.41, working_hours=8)

MilkMaker(name=Stephan Wilson, job_satisfied=1.0, employer=bbbccaa, salary=1.45, working_hours=8)

