MilkMaker(name=Stephan Johnson, job_satisfied=0.5, employer=bbbccaa, salary=15.45, working_hours=8)

MilkMaker(name=Stephan Johnson, job_satisfied=0.6, employer=bbbccaa, salary=0.35, working_hours=8)

MilkMaker(name=Stephan Johnson, job_satisfied=0.7, employer=bbbccaa, salary=1.1, working_hours=8)

MilkMaker(name=Stephan Johnson, job_satisfied=0.8, employer=bbbccaa, salary=2.0, working_hours=8)

MilkMaker(name=Stephan Johnson, job_satisfied=0.9, employer=bbbccaa, salary=2.22, working_hours=8)

MilkMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.44, working_hours=8)

CerealMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.35, working_hours=8)

CerealMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0.95, working_hours=8)

BreadMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.74, working_hours=8)

BreadMaker(name=Stephan Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.76, working_hours=8)

