CerealMaker(name=Paul Miller, job_satisfied=0.5, employer=bbb, salary=8.45, working_hours=8)

CerealMaker(name=Paul Miller, job_satisfied=0.6, employer=bbb, salary=1.29, working_hours=8)

CerealMaker(name=Paul Miller, job_satisfied=0.7, employer=bbb, salary=1.57, working_hours=8)

CerealMaker(name=Paul Miller, job_satisfied=0.8, employer=bbb, salary=1.39, working_hours=8)

CerealMaker(name=Paul Miller, job_satisfied=0.9, employer=bbb, salary=0.58, working_hours=8)

PieMaker(name=Paul Miller, job_satisfied=1.0, employer=bbbccaa, salary=3.88, working_hours=8)

PieMaker(name=Paul Miller, job_satisfied=1.0, employer=bbbccaa, salary=4.98, working_hours=8)

PieMaker(name=Paul Miller, job_satisfied=1.0, employer=bbbccaa, salary=6.3, working_hours=8)

PieMaker(name=Paul Miller, job_satisfied=1.0, employer=bbbccaa, salary=4.59, working_hours=8)

PieMaker(name=Paul Miller, job_satisfied=1.0, employer=bbbccaa, salary=5.44, working_hours=8)

