MeatMaker(name=Alex Taylor, job_satisfied=0.5, employer=bbbccaa, salary=33.05, working_hours=8)

MeatMaker(name=Alex Taylor, job_satisfied=0.6, employer=bbbccaa, salary=0.42, working_hours=8)

MeatMaker(name=Alex Taylor, job_satisfied=0.7, employer=bbbccaa, salary=1.57, working_hours=8)

MeatMaker(name=Alex Taylor, job_satisfied=0.8, employer=bbbccaa, salary=2.12, working_hours=8)

MeatMaker(name=Alex Taylor, job_satisfied=0.9, employer=bbbccaa, salary=3.46, working_hours=8)

MeatMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=1.15, working_hours=8)

CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=1.42, working_hours=8)

CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=1.0, working_hours=8)

CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=1.31, working_hours=8)

CerealMaker(name=Alex Taylor, job_satisfied=1.0, employer=bbbccaa, salary=1.58, working_hours=8)

