BreadMaker(name=David Simpson, job_satisfied=0.5, employer=bbbccaa, salary=11.03, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=0.6, employer=bbbccaa, salary=0.69, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=0.7, employer=bbbccaa, salary=0.79, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=0.8, employer=bbbccaa, salary=2.3, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=0.9, employer=bbbccaa, salary=2.94, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=1.33, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=1.84, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=2.24, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=2.33, working_hours=8)

BreadMaker(name=David Simpson, job_satisfied=1.0, employer=bbbccaa, salary=2.35, working_hours=8)

