MilkMaker(name=Chris Williams, job_satisfied=0.5, employer=bbb, salary=11.43, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=0.6, employer=bbb, salary=0.73, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=0.7, employer=bbb, salary=0.84, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=0.8, employer=bbb, salary=0.96, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=0.9, employer=bbb, salary=0.78, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=0.94, employer=bbb, salary=1.66, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=1.92, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=1.68, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=0.66, working_hours=8)

MilkMaker(name=Chris Williams, job_satisfied=1.0, employer=bbb, salary=1.09, working_hours=8)

