BreadMaker(name=David Johnson, job_satisfied=0.5, employer=bbbccaa, salary=40.77, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=0.6, employer=bbbccaa, salary=0.87, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=0.7, employer=bbbccaa, salary=1.01, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=0.8, employer=bbbccaa, salary=2.92, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=0.9, employer=bbbccaa, salary=3.74, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.69, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.34, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.85, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.96, working_hours=8)

BreadMaker(name=David Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.98, working_hours=8)

