CerealMaker(name=Josh Martin, job_satisfied=0.5, employer=bbb, salary=14.7, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=0.6, employer=bbbccaa, salary=0.0, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=0.7, employer=bbbccaa, salary=5.07, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=0.8, employer=bbbccaa, salary=11.22, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=0.9, employer=bbbccaa, salary=10.33, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=5.84, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=7.5, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=9.49, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=6.91, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=8.19, working_hours=8)

