MilkMaker(name=Alice Johnson, job_satisfied=0.5, employer=bbbccaa, salary=5.26, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=0.6, employer=bbbccaa, salary=0.26, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=0.7, employer=bbbccaa, salary=0.81, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=0.8, employer=bbbccaa, salary=1.48, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=0.9, employer=bbbccaa, salary=1.65, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.06, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.27, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.71, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=1.44, working_hours=8)

MilkMaker(name=Alice Johnson, job_satisfied=1.0, employer=bbbccaa, salary=0.87, working_hours=8)

