CerealMaker(name=Kate Martin, job_satisfied=0.5, employer=bbb, salary=7.84, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=0.6, employer=bbb, salary=2.13, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=0.7, employer=bbb, salary=2.59, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=0.8, employer=bbb, salary=2.29, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=0.9, employer=bbb, salary=0.61, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=1.0, employer=bbb, salary=3.07, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=1.0, employer=bbb, salary=1.44, working_hours=8)

CerealMaker(name=Kate Martin, job_satisfied=1.0, employer=bbb, salary=0.43, working_hours=8)

BreadMaker(name=Kate Martin, job_satisfied=1.0, employer=bbb, salary=4.79, working_hours=8)

BreadMaker(name=Kate Martin, job_satisfied=1.0, employer=bbb, salary=2.81, working_hours=8)

