MilkMaker(name=Michael Jones, job_satisfied=0.5, employer=bbbccaa, salary=5.24, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=0.6, employer=bbbccaa, salary=0.3, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=0.7, employer=bbbccaa, salary=0.94, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=0.8, employer=bbbccaa, salary=1.7, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=0.9, employer=bbbccaa, salary=1.89, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=1.0, employer=bbbccaa, salary=1.22, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=1.0, employer=bbbccaa, salary=1.46, working_hours=8)

MilkMaker(name=Michael Jones, job_satisfied=1.0, employer=bbbccaa, salary=1.96, working_hours=8)

CerealMaker(name=Michael Jones, job_satisfied=1.0, employer=bbbccaa, salary=1.06, working_hours=8)

CerealMaker(name=Michael Jones, job_satisfied=1.0, employer=bbbccaa, salary=1.28, working_hours=8)

