MeatMaker(name=Robert Thompson, job_satisfied=0.5, employer=bbbccaa, salary=67.47, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=0.6, employer=bbbccaa, salary=0.3, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=0.7, employer=bbbccaa, salary=1.1, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=0.8, employer=bbbccaa, salary=1.49, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=0.9, employer=bbbccaa, salary=2.43, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=0.81, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=1.66, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=3.07, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=1.84, working_hours=8)

MeatMaker(name=Robert Thompson, job_satisfied=1.0, employer=bbbccaa, salary=2.08, working_hours=8)

