BreadMaker(name=Robert Taylor, job_satisfied=0.5, employer=bbb, salary=28.18, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=0.6, employer=bbb, salary=1.66, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=0.7, employer=bbb, salary=2.75, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=0.8, employer=bbb, salary=2.53, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=0.9, employer=bbb, salary=1.69, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=4.44, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=3.5, working_hours=8)

MilkMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=2.58, working_hours=8)

MilkMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=1.01, working_hours=8)

BreadMaker(name=Robert Taylor, job_satisfied=1.0, employer=bbb, salary=2.68, working_hours=8)

