CerealMaker(name=Josh Martin, job_satisfied=0.5, employer=bbbccaa, salary=79.23, working_hours=8)

CerealMaker(name=Josh Martin, job_satisfied=0.6, employer=bbbccaa, salary=0.49, working_hours=8)

CerealMaker(name=Josh Martin, job_satisfied=0.7, employer=bbbccaa, salary=1.19, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=0.8, employer=bbbccaa, salary=8.33, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=0.9, employer=bbbccaa, salary=7.67, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.78, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=2.94, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=3.72, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=4.13, working_hours=8)

PieMaker(name=Josh Martin, job_satisfied=1.0, employer=bbbccaa, salary=3.89, working_hours=8)

