BreadMaker(name=Paul Taylor, job_satisfied=0.5, employer=bbb, salary=11.21, working_hours=8)

BreadMaker(name=Paul Taylor, job_satisfied=0.6, employer=bbb, salary=1.48, working_hours=8)

BreadMaker(name=Paul Taylor, job_satisfied=0.7, employer=bbb, salary=2.45, working_hours=8)

BreadMaker(name=Paul Taylor, job_satisfied=0.8, employer=bbb, salary=2.26, working_hours=8)

BreadMaker(name=Paul Taylor, job_satisfied=0.9, employer=bbb, salary=1.51, working_hours=8)

BreadMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=3.96, working_hours=8)

BreadMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=3.12, working_hours=8)

MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=2.31, working_hours=8)

MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=0.9, working_hours=8)

MilkMaker(name=Paul Taylor, job_satisfied=1.0, employer=bbb, salary=1.5, working_hours=8)

