MeatMaker(name=Alice Wilson, job_satisfied=0.5, employer=bbb, salary=10.67, working_hours=8)

MeatMaker(name=Alice Wilson, job_satisfied=0.6, employer=bbb, salary=0.88, working_hours=8)

MeatMaker(name=Alice Wilson, job_satisfied=0.7, employer=bbb, salary=0.6, working_hours=8)

MeatMaker(name=Alice Wilson, job_satisfied=0.8, employer=bbb, salary=0.53, working_hours=8)

MeatMaker(name=Alice Wilson, job_satisfied=0.7, employer=bbb, salary=0.36, working_hours=8)

MeatMaker(name=Alice Wilson, job_satisfied=0.6, employer=bbb, salary=1.65, working_hours=8)

MeatMaker(name=Alice Wilson, job_satisfied=0.5, employer=bbb, salary=0.97, working_hours=8)

MilkMaker(name=Alice Wilson, job_satisfied=0.6, employer=bbb, salary=0.96, working_hours=8)

MilkMaker(name=Alice Wilson, job_satisfied=0.7, employer=bbb, salary=0.4, working_hours=8)

MilkMaker(name=Alice Wilson, job_satisfied=0.8, employer=bbb, salary=0.7, working_hours=8)

