MilkMaker(name=John Jones, job_satisfied=0.5, employer=bbb, salary=23.46, working_hours=8)

MilkMaker(name=John Jones, job_satisfied=0.6, employer=bbb, salary=0.66, working_hours=8)

MilkMaker(name=John Jones, job_satisfied=0.7, employer=bbb, salary=0.76, working_hours=8)

MilkMaker(name=John Jones, job_satisfied=0.8, employer=bbb, salary=0.88, working_hours=8)

PieMaker(name=John Jones, job_satisfied=0.9, employer=bbb, salary=0.65, working_hours=8)

MeatMaker(name=John Jones, job_satisfied=0.92, employer=bbbccaa, salary=1.35, working_hours=8)

MeatMaker(name=John Jones, job_satisfied=0.87, employer=bbbccaa, salary=2.62, working_hours=8)

MeatMaker(name=John Jones, job_satisfied=0.97, employer=bbbccaa, salary=4.7, working_hours=8)

MeatMaker(name=John Jones, job_satisfied=1.0, employer=bbbccaa, salary=2.32, working_hours=8)

MeatMaker(name=John Jones, job_satisfied=1.0, employer=bbbccaa, salary=2.67, working_hours=8)

