MilkMaker(name=Sam Miller, job_satisfied=0.5, employer=bbbccaa, salary=11.89, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.6, employer=bbbccaa, salary=0.38, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.7, employer=bbbccaa, salary=1.19, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.8, employer=bbbccaa, salary=2.16, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.9, employer=bbbccaa, salary=2.4, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.55, working_hours=8)

CerealMaker(name=Sam Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.46, working_hours=8)

CerealMaker(name=Sam Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.03, working_hours=8)

CerealMaker(name=Sam Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.34, working_hours=8)

CerealMaker(name=Sam Miller, job_satisfied=1.0, employer=bbbccaa, salary=1.62, working_hours=8)

