BreadMaker(name=Alex Martin, job_satisfied=0.5, employer=bbbccaa, salary=96.79, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=0.6, employer=bbbccaa, salary=0.94, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=0.7, employer=bbbccaa, salary=1.08, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=0.8, employer=bbbccaa, salary=3.15, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=0.9, employer=bbbccaa, salary=4.03, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.83, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=2.52, working_hours=8)

BreadMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=3.07, working_hours=8)

MilkMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=2.26, working_hours=8)

MilkMaker(name=Alex Martin, job_satisfied=1.0, employer=bbbccaa, salary=1.36, working_hours=8)

