PieMaker(name=Robert Wilson, job_satisfied=0.5, employer=bbb, salary=8.34, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.6, employer=bbb, salary=0.97, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.7, employer=bbb, salary=0.67, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.8, employer=bbb, salary=0.76, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.83, employer=bbb, salary=0.53, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.76, employer=bbb, salary=1.85, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.86, employer=bbb, salary=1.94, working_hours=8)

PieMaker(name=Robert Wilson, job_satisfied=0.96, employer=bbb, salary=0.55, working_hours=8)

BreadMaker(name=Robert Wilson, job_satisfied=1.0, employer=bbb, salary=2.24, working_hours=8)

BreadMaker(name=Robert Wilson, job_satisfied=1.0, employer=bbb, salary=0.98, working_hours=8)

