MeatMaker(name=Sam Davis, job_satisfied=0.5, employer=bbb, salary=7.35, working_hours=8)

MeatMaker(name=Sam Davis, job_satisfied=0.6, employer=bbb, salary=0.97, working_hours=8)

MeatMaker(name=Sam Davis, job_satisfied=0.7, employer=bbb, salary=0.66, working_hours=8)

MeatMaker(name=Sam Davis, job_satisfied=0.8, employer=bbb, salary=0.58, working_hours=8)

MilkMaker(name=Sam Davis, job_satisfied=0.86, employer=bbb, salary=0.64, working_hours=8)

BreadMaker(name=Sam Davis, job_satisfied=0.76, employer=bbb, salary=1.75, working_hours=8)

BreadMaker(name=Sam Davis, job_satisfied=0.86, employer=bbb, salary=1.23, working_hours=8)

MilkMaker(name=Sam Davis, job_satisfied=0.96, employer=bbb, salary=1.31, working_hours=8)

MilkMaker(name=Sam Davis, job_satisfied=1.0, employer=bbb, salary=0.55, working_hours=8)

MilkMaker(name=Sam Davis, job_satisfied=0.96, employer=bbb, salary=0.92, working_hours=8)

