CerealMaker(name=Michael Wilson, job_satisfied=0.5, employer=bbbccaa, salary=10.17, working_hours=8)

CerealMaker(name=Michael Wilson, job_satisfied=0.6, employer=bbbccaa, salary=0.58, working_hours=8)

CerealMaker(name=Michael Wilson, job_satisfied=0.7, employer=bbbccaa, salary=1.41, working_hours=8)

CerealMaker(name=Michael Wilson, job_satisfied=0.8, employer=bbbccaa, salary=2.8, working_hours=8)

PieMaker(name=Michael Wilson, job_satisfied=0.9, employer=bbbccaa, salary=6.18, working_hours=8)

PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.12, working_hours=8)

PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=3.49, working_hours=8)

PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=4.42, working_hours=8)

PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=3.9, working_hours=8)

PieMaker(name=Michael Wilson, job_satisfied=1.0, employer=bbbccaa, salary=4.62, working_hours=8)

