MeatMaker(name=Samantha Smith, job_satisfied=0.5, employer=bbbccaa, salary=17.25, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.6, employer=bbbccaa, salary=0.37, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.7, employer=bbbccaa, salary=1.38, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.8, employer=bbbccaa, salary=1.86, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=0.9, employer=bbbccaa, salary=3.04, working_hours=8)

MeatMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=1.01, working_hours=8)

CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=1.25, working_hours=8)

CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=0.88, working_hours=8)

CerealMaker(name=Samantha Smith, job_satisfied=0.9, employer=bbbccaa, salary=1.15, working_hours=8)

CerealMaker(name=Samantha Smith, job_satisfied=1.0, employer=bbbccaa, salary=1.32, working_hours=8)

