CerealMaker(name=David Williams, job_satisfied=0.5, employer=bbbccaa, salary=8.12, working_hours=8)

CerealMaker(name=David Williams, job_satisfied=0.6, employer=bbbccaa, salary=0.52, working_hours=8)

CerealMaker(name=David Williams, job_satisfied=0.7, employer=bbbccaa, salary=1.27, working_hours=8)

CerealMaker(name=David Williams, job_satisfied=0.8, employer=bbbccaa, salary=2.52, working_hours=8)

CerealMaker(name=David Williams, job_satisfied=0.9, employer=bbbccaa, salary=2.53, working_hours=8)

BreadMaker(name=David Williams, job_satisfied=1.0, employer=bbbccaa, salary=1.51, working_hours=8)

BreadMaker(name=David Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.08, working_hours=8)

BreadMaker(name=David Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.54, working_hours=8)

BreadMaker(name=David Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.64, working_hours=8)

BreadMaker(name=David Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.66, working_hours=8)

