CerealMaker(name=Michael Smith, job_satisfied=0.5, employer=bbbccaa, salary=17.56, working_hours=8)

CerealMaker(name=Michael Smith, job_satisfied=0.6, employer=bbbccaa, salary=0.68, working_hours=8)

CerealMaker(name=Michael Smith, job_satisfied=0.7, employer=bbbccaa, salary=1.65, working_hours=8)

CerealMaker(name=Michael Smith, job_satisfied=0.8, employer=bbbccaa, salary=3.28, working_hours=8)

PieMaker(name=Michael Smith, job_satisfied=0.9, employer=bbbccaa, salary=7.22, working_hours=8)

PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=2.47, working_hours=8)

PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=4.08, working_hours=8)

PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=5.17, working_hours=8)

PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=4.56, working_hours=8)

PieMaker(name=Michael Smith, job_satisfied=1.0, employer=bbbccaa, salary=5.4, working_hours=8)

