BreadMaker(name=Sam Brown, job_satisfied=0.5, employer=bbb, salary=39.99, working_hours=8)

BreadMaker(name=Sam Brown, job_satisfied=0.6, employer=bbb, salary=1.45, working_hours=8)

BreadMaker(name=Sam Brown, job_satisfied=0.7, employer=bbb, salary=2.4, working_hours=8)

BreadMaker(name=Sam Brown, job_satisfied=0.8, employer=bbb, salary=2.21, working_hours=8)

BreadMaker(name=Sam Brown, job_satisfied=0.9, employer=bbb, salary=1.48, working_hours=8)

PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=3.6, working_hours=8)

PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=4.81, working_hours=8)

PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=6.06, working_hours=8)

PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=5.07, working_hours=8)

PieMaker(name=Sam Brown, job_satisfied=1.0, employer=bbbccaa, salary=6.04, working_hours=8)

