CerealMaker(name=Alex Wilson, job_satisfied=0.6, employer=bbbccaa, salary=0.67, working_hours=8)

CerealMaker(name=Alex Wilson, job_satisfied=0.7, employer=bbbccaa, salary=1.63, working_hours=8)

CerealMaker(name=Alex Wilson, job_satisfied=0.8, employer=bbbccaa, salary=3.23, working_hours=8)

BreadMaker(name=Alex Wilson, job_satisfied=0.9, employer=bbbccaa, salary=4.28, working_hours=8)

BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=1.94, working_hours=8)

BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.67, working_hours=8)

BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=3.26, working_hours=8)

BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=3.39, working_hours=8)

BreadMaker(name=Alex Wilson, job_satisfied=1.0, employer=bbbccaa, salary=3.41, working_hours=8)

