MilkMaker(name=Sam Miller, job_satisfied=0.5, employer=bbb, salary=12.82, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.6, employer=bbb, salary=1.17, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.7, employer=bbb, salary=1.35, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.8, employer=bbb, salary=1.54, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=0.9, employer=bbb, salary=1.25, working_hours=8)

MilkMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=2.67, working_hours=8)

PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=4.71, working_hours=8)

PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=1.26, working_hours=8)

PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=3.34, working_hours=8)

PieMaker(name=Sam Miller, job_satisfied=1.0, employer=bbb, salary=5.12, working_hours=8)

