CerealMaker(name=Alice Thompson, job_satisfied=0.5, employer=bbb, salary=23.17, working_hours=8)

PieMaker(name=Alice Thompson, job_satisfied=0.6, employer=bbbccaa, salary=0.0, working_hours=8)

PieMaker(name=Alice Thompson, job_satisfied=0.7, employer=bbbccaa, salary=4.81, working_hours=8)

PieMaker(name=Alice Thompson, job_satisfied=0.8, employer=bbbccaa, salary=10.64, working_hours=8)

MeatMaker(name=Alice Thompson, job_satisfied=0.9, employer=bbbccaa, salary=18.15, working_hours=8)

MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=5.9, working_hours=8)

MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=11.56, working_hours=8)

MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=21.97, working_hours=8)

MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=6.62, working_hours=8)

MeatMaker(name=Alice Thompson, job_satisfied=1.0, employer=bbbccaa, salary=7.56, working_hours=8)

