PieMaker(name=Kate Anderson, job_satisfied=0.5, employer=bbb, salary=28.82, working_hours=8)

PieMaker(name=Kate Anderson, job_satisfied=0.6, employer=bbb, salary=1.43, working_hours=8)

PieMaker(name=Kate Anderson, job_satisfied=0.7, employer=bbb, salary=0.99, working_hours=8)

PieMaker(name=Kate Anderson, job_satisfied=0.8, employer=bbb, salary=1.11, working_hours=8)

PieMaker(name=Kate Anderson, job_satisfied=0.9, employer=bbb, salary=0.78, working_hours=8)

BreadMaker(name=Kate Anderson, job_satisfied=0.8, employer=bbbccaa, salary=1.76, working_hours=8)

BreadMaker(name=Kate Anderson, job_satisfied=0.7, employer=bbbccaa, salary=2.19, working_hours=8)

BreadMaker(name=Kate Anderson, job_satisfied=0.8, employer=bbbccaa, salary=2.52, working_hours=8)

BreadMaker(name=Kate Anderson, job_satisfied=0.9, employer=bbbccaa, salary=3.48, working_hours=8)

BreadMaker(name=Kate Anderson, job_satisfied=1.0, employer=bbbccaa, salary=2.95, working_hours=8)

