BreadMaker(name=Kate Johnson, job_satisfied=0.5, employer=bbbccaa, salary=9.77, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=0.6, employer=bbbccaa, salary=1.04, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=0.7, employer=bbbccaa, salary=1.2, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=0.8, employer=bbbccaa, salary=3.47, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=0.9, employer=bbbccaa, salary=4.44, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.01, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=1.0, employer=bbbccaa, salary=2.78, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=1.0, employer=bbbccaa, salary=3.38, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=1.0, employer=bbbccaa, salary=3.52, working_hours=8)

BreadMaker(name=Kate Johnson, job_satisfied=1.0, employer=bbbccaa, salary=3.55, working_hours=8)

