BreadMaker(name=Robert Williams, job_satisfied=0.5, employer=bbbccaa, salary=8.47, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=0.6, employer=bbbccaa, salary=0.76, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=0.7, employer=bbbccaa, salary=0.88, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=0.8, employer=bbbccaa, salary=2.55, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=0.9, employer=bbbccaa, salary=3.26, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=1.48, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.04, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.48, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.58, working_hours=8)

BreadMaker(name=Robert Williams, job_satisfied=1.0, employer=bbbccaa, salary=2.6, working_hours=8)

