CerealMaker(name=Garry Thomas, job_satisfied=0.5, employer=bbb, salary=8.74, working_hours=8)

CerealMaker(name=Garry Thomas, job_satisfied=0.6, employer=bbb, salary=1.95, working_hours=8)

CerealMaker(name=Garry Thomas, job_satisfied=0.7, employer=bbb, salary=2.37, working_hours=8)

CerealMaker(name=Garry Thomas, job_satisfied=0.8, employer=bbb, salary=2.09, working_hours=8)

PieMaker(name=Garry Thomas, job_satisfied=0.9, employer=bbb, salary=1.43, working_hours=8)

PieMaker(name=Garry Thomas, job_satisfied=1.0, employer=bbb, salary=5.04, working_hours=8)

PieMaker(name=Garry Thomas, job_satisfied=1.0, employer=bbb, salary=5.87, working_hours=8)

PieMaker(name=Garry Thomas, job_satisfied=1.0, employer=bbb, salary=1.61, working_hours=8)

PieMaker(name=Garry Thomas, job_satisfied=1.0, employer=bbb, salary=4.14, working_hours=8)

PieMaker(name=Garry Thomas, job_satisfied=1.0, employer=bbb, salary=6.36, working_hours=8)

