MilkMaker(name=Sam Wilson, job_satisfied=0.5, employer=bbbccaa, salary=5.91, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=0.6, employer=bbbccaa, salary=0.45, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=0.7, employer=bbbccaa, salary=1.39, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=0.8, employer=bbbccaa, salary=2.54, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=0.9, employer=bbbccaa, salary=2.82, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=1.82, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.18, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.92, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=2.46, working_hours=8)

MilkMaker(name=Sam Wilson, job_satisfied=1.0, employer=bbbccaa, salary=1.48, working_hours=8)

