CerealMaker(name=Garry Brown, job_satisfied=0.5, employer=bbb, salary=9.23, working_hours=8)

CerealMaker(name=Garry Brown, job_satisfied=0.6, employer=bbb, salary=1.81, working_hours=8)

CerealMaker(name=Garry Brown, job_satisfied=0.7, employer=bbb, salary=2.2, working_hours=8)

CerealMaker(name=Garry Brown, job_satisfied=0.8, employer=bbb, salary=1.94, working_hours=8)

BreadMaker(name=Garry Brown, job_satisfied=0.9, employer=bbb, salary=1.5, working_hours=8)

BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=3.94, working_hours=8)

BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=3.11, working_hours=8)

BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=2.15, working_hours=8)

BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=5.51, working_hours=8)

BreadMaker(name=Garry Brown, job_satisfied=1.0, employer=bbb, salary=2.38, working_hours=8)

