MilkMaker(name=John Anderson, job_satisfied=0.5, employer=bbbccaa, salary=4.09, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=0.6, employer=bbbccaa, salary=0.26, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=0.7, employer=bbbccaa, salary=0.82, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=0.8, employer=bbbccaa, salary=1.49, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=0.9, employer=bbbccaa, salary=1.66, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=1.07, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=1.28, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=1.72, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=1.45, working_hours=8)

MilkMaker(name=John Anderson, job_satisfied=1.0, employer=bbbccaa, salary=0.87, working_hours=8)

