BreadMaker(name=Eve Williams, job_satisfied=0.5, employer=bbb, salary=8.37, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=0.6, employer=bbb, salary=1.28, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=0.7, employer=bbb, salary=2.12, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=0.8, employer=bbb, salary=1.95, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=0.9, employer=bbb, salary=1.3, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=3.41, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=2.69, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=1.33, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=3.53, working_hours=8)

BreadMaker(name=Eve Williams, job_satisfied=1.0, employer=bbb, salary=1.52, working_hours=8)

